"date_pt","whale_presence_rating","vsr_season","s_fincount","fin_acoustic","s_humpbackcount","humpback_acoustic","s_bluecount","blue_acoustic","bwmv","bwmv_rating"
2022-11-25,"Very High","active",0,"Low Rating",7,"High Rating",0,"High Rating",0.05,"low"
2022-11-26,"Very High","active",0,"Low Rating",8,"High Rating",0,"High Rating",0.03,"low"
2022-11-27,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",NA,"offline"
2022-11-28,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.03,"low"
2022-11-29,"Very High","active",0,"Medium Rating",4,"High Rating",0,"High Rating",0.02,"low"
2022-11-30,"Very High","active",0,"Low Rating",12,"High Rating",0,"Low Rating",0.02,"low"
2022-12-01,"Very High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",0.05,"low"
2022-12-02,"Very High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2022-12-03,"Very High","active",0,"Medium Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2022-12-04,"Very High","active",0,"Low Rating",3,"High Rating",0,"Low Rating",0.03,"low"
2022-12-05,"High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.05,"low"
2022-12-06,"High","active",0,"Low Rating",1,"High Rating",0,"Medium Rating",0.02,"low"
2022-12-07,"Very High","active",0,"Low Rating",28,"High Rating",0,"High Rating",0.02,"low"
2022-12-08,"Very High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2022-12-09,"Very High","active",0,"Low Rating",4,"High Rating",0,"Low Rating",0.02,"low"
2022-12-10,"Very High","active",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2022-12-11,"Very High","active",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.02,"low"
2022-12-12,"Very High","active",0,"Low Rating",0,"High Rating",0,"High Rating",0.02,"low"
2022-12-13,"High","active",0,"Low Rating",7,"High Rating",0,"Medium Rating",0.02,"low"
2022-12-14,"Very High","active",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.04,"low"
2022-12-15,"High","active",0,"Low Rating",1,"High Rating",0,"Medium Rating",0.03,"low"
2022-12-16,"High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2022-12-17,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.03,"low"
2022-12-18,"High","inactive",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.02,"low"
2022-12-19,"Very High","inactive",0,"Medium Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2022-12-20,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2022-12-21,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.02,"low"
2022-12-22,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.02,"low"
2022-12-23,"High","inactive",0,"Medium Rating",0,"High Rating",0,"High Rating",0.03,"low"
2022-12-24,"Very High","inactive",0,"Medium Rating",0,"High Rating",0,"High Rating",0.02,"low"
2022-12-25,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.05,"low"
2022-12-26,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.03,"low"
2022-12-27,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.03,"low"
2022-12-28,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.03,"low"
2022-12-29,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"High Rating",0.02,"low"
2022-12-30,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.03,"low"
2022-12-31,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Medium Rating",0.02,"low"
2023-01-01,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-01-02,"Very High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-01-03,"High","inactive",0,"Medium Rating",0,"High Rating",0,"Low Rating",0.02,"low"
2023-01-04,"High","inactive",0,"Low Rating",0,"High Rating",0,"Low Rating",NA,"offline"
2023-01-05,"High","inactive",0,"Medium Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
2023-01-06,"High","inactive",0,"Low Rating",0,"Medium Rating",0,"Medium Rating",0.04,"low"
2023-01-07,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.03,"low"
2023-01-08,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-09,"High","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.02,"low"
2023-01-10,"Medium","inactive",0,"Low Rating",0,"Low Rating",0,"Low Rating",0.03,"low"
2023-01-11,"Medium","inactive",0,"Medium Rating",0,"Medium Rating",0,"Low Rating",0.02,"low"
